"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005004241368975","https://ae04.alicdn.com/kf/S59b371b55c6449ccbbba136c692f66dfk.jpg",,"ZD Racing 9021-V3 1/8 2.4G 4WD 80km/h Brushless Rc Car Full Scale Electric Truggy  Toys For Children Toys","USD 414.86","USD 294.55","29%","USD","8.0","USD 23.56","11","100.0%","https://s.click.aliexpress.com/e/_DeXSUOL",,,,,,
"1005004908838357","https://ae04.alicdn.com/kf/S1e82ec91032d43719b703e581981f2d99.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100096877072.mp4","Alloy RC Toy Car Spray Stunt Car 2.4g High Speed Racing Drift Skeleton Car Toy Remote Control Car Children's Sports Car","USD 51.87","USD 33.72","35%","USD","11.0","USD 3.71","0","0.0%","https://s.click.aliexpress.com/e/_DdrUOYr",,,,,,
"1005002597513751","https://ae04.alicdn.com/kf/Hb7298b41af594149be49c2bff6255a8fw.jpg",,"2.4G 1/58 Mini RC Remote Control Racing Car with Light 2 Mode APP Control Chargable Multiplayer Together Vehicle Cola Can Box","USD 8.89","USD 6.22","30%","USD","7","USD 0.44","4","20.0%","https://s.click.aliexpress.com/e/_DFHhCLz",,,,,,
"1005004714983885","https://ae04.alicdn.com/kf/S51e6d67ec87f4b3d9d724a046f73852c0.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100085810237.mp4","UDIRC UD 1603 1604 Pro RC Car 2.4G 1/16 50km/H High Speed Brushless 4WD Drift Car LED Light RTR Remote Control Vehicles Toy Gift","USD 56.92","USD 39.27","31%","USD","8.0","USD 3.14","3","null%","https://s.click.aliexpress.com/e/_DCiurGx",,,,,,
"1005005072076054","https://ae04.alicdn.com/kf/Se635b0c5b5604556b9fe5df9135328b0Z.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100086581096.mp4","2in1 RC Car 2.4GHz Remote Control Boat Waterproof Radio Controlled Stunt Car 4WD Vehicle All Terrain Beach Pool Toys for Boys","USD 41.17","USD 24.70","40%","USD","8.0","USD 1.98","0","null%","https://s.click.aliexpress.com/e/_DeNos4X",,,,,,
"1005005094153701","https://ae04.alicdn.com/kf/S829da5ac612c4c6b969462f0ae4c9e78p.jpg",,"Remote Control Car Mecha Guardian Gesture Sensor Dual Control Programming Spray Stunt Tank Car With Music","USD 409.87","USD 327.90","20%","USD","7","USD 22.95","0","null%","https://s.click.aliexpress.com/e/_DDuUp1l",,,,,,
"1005004714944348","https://ae04.alicdn.com/kf/S31f7505d428445fc902ec1e7ff61d36dC.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100085803558.mp4","UDIRC UD 1603 1604 Pro RC Car 2.4G 1/16 50km/H High Speed Brushless 4WD Drift Car LED Light RTR Remote Control Vehicles Toy Gift","USD 56.92","USD 39.27","31%","USD","8.0","USD 3.14","6","100.0%","https://s.click.aliexpress.com/e/_DEQoFlN",,,,,,
"1005005094145911","https://ae04.alicdn.com/kf/S68e296826d27459199c50d88a1c760d6Q.jpg",,"Remote Control Racing Car 6-channel Automatic Demonstration Spray Remote Control Climbing Car With Searchlight","USD 40.85","USD 26.55","35%","USD","7","USD 1.86","0","null%","https://s.click.aliexpress.com/e/_DmbCviP",,,,,,
"1005004625991021","https://ae04.alicdn.com/kf/S8d06aa6938514e8fabe39ba08a2a541aT.jpg",,"4Pcs 100X42mm 5-Spoke Tire Tyre 17Mm Wheel Hex For Arrma 1/7 Infraction Felony Limitless RC Car Upgrade Parts","USD 44.79","USD 29.11","35%","USD","7","USD 2.04","3","100.0%","https://s.click.aliexpress.com/e/_DnCijOf",,,,,,
"1005004186451693","https://ae04.alicdn.com/kf/S09fcc2753b4f4c288733557ff872189bv.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100014718448.mp4","Arrma 1/7 INFRACTION V2 Felony Stainless Steel Front Bumper Chassis Armor Protector Anti Skid Plate For RC Car","USD 38.00","USD 19.38","49%","USD","7","USD 1.36","5","100.0%","https://s.click.aliexpress.com/e/_DkdwcJ9",,,,,,
"1005005094209096","https://ae04.alicdn.com/kf/S516facfcfe254e8d85d1f64ebddab4df1.jpg",,"1:10 Remote Control Car Spray Off-road Vehicle Gesture Sensing Climbing Car Toys For Boys Christmas Gifts","USD 52.87","USD 42.30","20%","USD","7","USD 2.96","0","null%","https://s.click.aliexpress.com/e/_DlFVyTz",,,,,,
"1005003494728353","https://ae04.alicdn.com/kf/H238c8287ab244bfe9e2f48682e448e833.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/335744031331.mp4","RC excavator Dumper Bulldozer 2.4G Remote control forklift tractor RC Car Diggy caterpillar Engineering Vehicle toys for boy kid","USD 191.94","USD 38.39","80%","USD","8.0","USD 3.07","5","100.0%","https://s.click.aliexpress.com/e/_DmppIon",,,,,,
"1005005068371707","https://ae04.alicdn.com/kf/S7f65718d7a1c41c19e6f3be89daa0d2eT.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100110160090.mp4","20KM/H 2.4G Racing RC Car Electric High Speed Off-Road Remote Control Cars Drift Toys for Kids and Adults","USD 48.77","USD 29.26","40%","USD","10.0","USD 2.93","1","null%","https://s.click.aliexpress.com/e/_DEjxzbZ",,,,,,
"1005003414313447","https://ae04.alicdn.com/kf/H77a41c27980a45c2a059431995b1b522j.jpg",,"DumboRC X6 2.4G 6CH Transmitter with X6F X6FG Receiver for JJRC Q65 MN-90 Rc Car Boat Tank Model Parts","USD 7.94","USD 7.94","0%","USD","7","USD 0.56","36","97.5%","https://s.click.aliexpress.com/e/_DkR3gKF",,,,,,
"1005004832176483","https://ae04.alicdn.com/kf/S9a6edd8a044349ef8c926cc390707a92Y.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100092443686.mp4","1:16 Full Scale High-speed 2.4G Remote Control Car 4WD Off-road Vehicle Racing Car Toy For Boys Gifts Scy16103","USD 69.96","USD 34.98","50%","USD","7","USD 2.45","1","100.0%","https://s.click.aliexpress.com/e/_DnE7JSf",,,,,,
"1005004129908049","https://ae04.alicdn.com/kf/S59886d6a72cd4c51bff769b9be04f84bX.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100008111518.mp4","HBX 2188A 1:18 RC Car 2.4G Off Road 4WD Drift Racing Car Championship Vehicle Remote Control Electronic Kids Hobby Toys Gift","USD 55.26","USD 38.68","30%","USD","8.0","USD 3.09","5","100.0%","https://s.click.aliexpress.com/e/_DdMsszZ",,,,,,
"1005003678783803","https://ae04.alicdn.com/kf/H48d38538f7f14b88b86dfde273a02016Y.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/341680163652.mp4","HS 18301/18302 1/18 2.4G 4WD 40 + MPH High Speed Remote Control RC Racing Car OFF-Road Vehicle Toys Christmas gift","USD 42.87","USD 30.01","30%","USD","8.0","USD 2.40","5","100.0%","https://s.click.aliexpress.com/e/_DnqxfwP",,,,,,
"1005004556671086","https://ae04.alicdn.com/kf/S17916bcff5c14979843f1474fab48041k.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100069746743.mp4","Rc Cars Off Road Headlight 1/16 Scale Crawler 4WD 2.4G 50KM High Speed Drift Remote Control Monster Truck Toys For Kid Wltoys","USD 87.34","USD 62.88","28%","USD","7","USD 4.40","10","100.0%","https://s.click.aliexpress.com/e/_DdYYprt",,,,,,
"1005004584410551","https://ae04.alicdn.com/kf/S8f815b8f718d43888ae52d8bbe06f489F.jpg",,"Children Cartoon Dinosaur RC Remote Control Car Watch Toy Electric Wrist Rechargeable Wrist Racing Car Watch For Boys Girls Gift","USD 6.44","USD 4.51","30%","USD","7","USD 0.32","3","null%","https://s.click.aliexpress.com/e/_Dkc8SpD",,,,,,
"1005005094140885","https://ae04.alicdn.com/kf/S794ead680ee6414595d4c80497faf6a22.jpg",,"Children Amphibious Remote Control Car Waterproof Anti-collision 306 Degree Rotation Electric Remote Control Car","USD 32.43","USD 22.70","30%","USD","7","USD 1.59","0","null%","https://s.click.aliexpress.com/e/_DlEsLxt",,,,,,
